Order_ID,Rating
IN-2019-000001,3
IN-2019-000002,5
MA-2019-000003,5
JA-2019-000004,5
IN-2019-000005,4
CH-2019-000006,5
IN-2019-000007,5
MA-2019-000008,5
IN-2019-000009,5
SI-2019-000010,3
IN-2019-000011,5
JA-2019-000012,5
IN-2019-000013,5
IN-2019-000014,5
JA-2019-000015,5
JA-2019-000016,3
CH-2019-000017,3
JA-2019-000018,5
IN-2019-000019,5
JA-2019-000020,5
JA-2019-000021,2
RU-2019-000022,5
MA-2019-000023,5
IN-2019-000024,4
MA-2019-000025,5
CH-2019-000026,4
JA-2019-000027,1
JA-2019-000028,5
JA-2019-000029,5
MA-2019-000030,3
CH-2019-000031,5
IN-2019-000032,3
JA-2019-000033,1
IN-2019-000034,3
IN-2019-000035,5
RU-2019-000036,5
MA-2019-000037,3
RU-2019-000038,4
RU-2019-000039,4
CH-2019-000040,3
RU-2019-000041,2
JA-2019-000042,4
IN-2019-000043,4
SI-2019-000044,4
MA-2019-000045,5
RU-2019-000046,5
JA-2019-000047,4
RU-2019-000048,5
IN-2019-000049,5
IN-2019-000050,5
IN-2019-000051,5
CH-2019-000052,5
MA-2019-000053,5
IN-2019-000054,5
SI-2019-000055,3
JA-2019-000056,5
JA-2019-000057,5
MA-2019-000058,4
RU-2019-000059,5
CH-2019-000060,5
IN-2019-000061,4
CH-2019-000062,1
JA-2019-000063,5
RU-2019-000064,5
JA-2019-000065,4
IN-2019-000066,2
IN-2019-000067,4
IN-2019-000068,5
MA-2019-000069,5
CH-2019-000070,5
RU-2019-000071,5
JA-2019-000072,4
IN-2019-000073,4
JA-2019-000074,5
IN-2019-000075,4
JA-2019-000076,5
SI-2019-000077,5
RU-2019-000078,2
JA-2019-000079,5
JA-2019-000080,2
MA-2019-000081,5
SI-2019-000082,5
IN-2019-000083,4
MA-2019-000084,5
IN-2019-000085,5
JA-2019-000086,2
CH-2019-000087,5
IN-2019-000088,5
IN-2019-000089,5
IN-2019-000090,4
IN-2019-000091,4
JA-2019-000092,5
JA-2019-000093,5
IN-2019-000094,5
IN-2019-000095,4
CH-2019-000096,5
MA-2019-000097,4
CH-2019-000098,5
JA-2019-000099,3
MA-2019-000100,4
IN-2019-000101,4
JA-2019-000102,5
IN-2019-000103,5
JA-2019-000104,1
RU-2019-000105,3
JA-2019-000106,5
IN-2019-000107,3
MA-2019-000108,2
RU-2019-000109,5
MA-2019-000110,5
JA-2019-000111,4
JA-2019-000112,4
JA-2019-000113,4
MA-2019-000114,3
JA-2019-000115,5
IN-2019-000116,3
SI-2019-000117,3
MA-2019-000118,4
IN-2019-000119,5
CH-2019-000120,4
RU-2019-000121,5
JA-2019-000122,5
MA-2019-000123,5
IN-2019-000124,5
JA-2019-000125,2
JA-2019-000126,3
MA-2019-000127,3
JA-2019-000128,5
JA-2019-000129,3
IN-2019-000130,1
IN-2019-000131,4
IN-2019-000132,3
IN-2019-000133,5
RU-2019-000134,2
IN-2019-000135,5
IN-2019-000136,5
IN-2019-000137,5
IN-2019-000138,5
CH-2019-000139,2
JA-2019-000140,5
IN-2019-000141,3
RU-2019-000142,5
RU-2019-000143,1
IN-2019-000144,5
JA-2019-000145,1
IN-2019-000146,4
IN-2019-000147,5
CH-2019-000148,4
IN-2019-000149,5
JA-2019-000150,4
RU-2019-000151,1
CH-2019-000152,4
MA-2019-000153,5
SI-2019-000154,5
SI-2019-000155,5
IN-2019-000156,5
RU-2019-000157,5
CH-2019-000158,4
IN-2019-000159,4
IN-2019-000160,5
IN-2019-000161,5
SI-2019-000162,4
IN-2019-000163,5
RU-2019-000164,5
JA-2019-000165,4
JA-2019-000166,4
IN-2019-000167,5
IN-2019-000168,3
SI-2019-000169,5
CH-2019-000170,1
SI-2019-000171,1
CH-2019-000172,5
CH-2019-000173,4
JA-2019-000174,4
JA-2019-000175,5
MA-2019-000176,5
RU-2019-000177,5
CH-2019-000178,5
CH-2019-000179,5
CH-2019-000180,5
IN-2019-000181,5
JA-2019-000182,4
RU-2019-000183,4
SI-2019-000184,4
IN-2019-000185,4
RU-2019-000186,5
IN-2019-000187,5
IN-2019-000188,1
JA-2019-000189,4
RU-2019-000190,4
RU-2019-000191,5
IN-2019-000192,4
MA-2019-000193,4
CH-2019-000194,4
IN-2019-000195,5
IN-2019-000196,5
IN-2019-000197,4
CH-2019-000198,3
IN-2019-000199,2
JA-2019-000200,5
IN-2019-000201,5
JA-2019-000202,4
RU-2019-000203,4
JA-2019-000204,5
CH-2019-000205,4
MA-2019-000206,5
IN-2019-000207,5
IN-2019-000208,4
IN-2019-000209,2
MA-2019-000210,1
JA-2019-000211,5
CH-2019-000212,5
